Techstack,Links
"React, Node.js, MongoDB",https://drive.google.com/file/d/sample-pdf-1/view
"Angular, .NET, SQL Server",https://drive.google.com/file/d/sample-pdf-2/view
"Vue.js, Ruby on Rails, PostgreSQL",https://drive.google.com/file/d/sample-pdf-3/view
"Python, Django, MySQL",https://drive.google.com/file/d/sample-pdf-4/view
"Java, Spring Boot, Oracle",https://drive.google.com/file/d/sample-pdf-5/view
"Flutter, Firebase, GraphQL",https://drive.google.com/file/d/sample-pdf-6/view
"WordPress, PHP, MySQL",https://drive.google.com/file/d/sample-pdf-7/view
"Magento, PHP, MySQL",https://drive.google.com/file/d/sample-pdf-8/view
"React Native, Node.js, MongoDB",https://drive.google.com/file/d/sample-pdf-9/view
"iOS, Swift, Core Data",https://drive.google.com/file/d/sample-pdf-10/view
"Android, Java, Room Persistence",https://drive.google.com/file/d/sample-pdf-11/view
"Kotlin, Android, Firebase",https://drive.google.com/file/d/sample-pdf-12/view
"Android TV, Kotlin, Android NDK",https://drive.google.com/file/d/sample-pdf-13/view
"iOS, Swift, ARKit",https://drive.google.com/file/d/sample-pdf-14/view
"Cross-platform, Xamarin, Azure",https://drive.google.com/file/d/sample-pdf-15/view
